index,bigcategory,smallcategory,size,XXS以下,20cm以下,,,,,,,,,,,,,,
レディース,トップス,Tシャツ/カットソー(半袖/袖なし),XXS以下,XS(SS),20.5cm,,,,,,,,,,,,,,
レディース,トップス,Tシャツ/カットソー(七分/長袖),XXS以下,S,21cm,,,,,,,,,,,,,,
レディース,トップス,シャツ/ブラウス(半袖/袖なし),XXS以下,M,21.5cm,,,,,,,,,,,,,,
レディース,トップス,シャツ/ブラウス(七分/長袖),XXS以下,L,22cm,,,,,,,,,,,,,,
レディース,トップス,ポロシャツ,XXS以下,XL(LL),22.5cm,,,,,,,,,,,,,,
レディース,トップス,キャミソール,XXS以下,2XL(3L),23cm,,,,,,,,,,,,,,
レディース,トップス,タンクトップ,XXS以下,3XL(4L),23.5cm,,,,,,,,,,,,,,
レディース,トップス,ホルターネック,XXS以下,4XL(5L)以上,24cm,,,,,,,,,,,,,,
レディース,トップス,ニット/セーター,XXS以下,FREE SIZE,24.5cm,,,,,,,,,,,,,,
レディース,トップス,チュニック,XXS以下,,25cm,,,,,,,,,,,,,,
レディース,トップス,カーディガン/ボレロ,XXS以下,,25.5cm,,,,,,,,,,,,,,
レディース,トップス,アンサンブル,XXS以下,,26cm,,,,,,,,,,,,,,
レディース,トップス,ベスト/ジレ,XXS以下,,26.5cm,,,,,,,,,,,,,,
レディース,トップス,パーカー,XXS以下,,27cm,,,,,,,,,,,,,,
レディース,トップス,トレーナー/スウェット,XXS以下,,27.5cm以上,,,,,,,,,,,,,,
レディース,トップス,ベアトップ/チューブトップ,XXS以下,,,,,,,,,,,,,,,,
レディース,トップス,ジャージ,XXS以下,,,,,,,,,,,,,,,,
レディース,トップス,その他,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,テーラードジャケット,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ノーカラージャケット,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,Gジャン/デニムジャケット,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,レザージャケット,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ダウンジャケット,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ライダースジャケット,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ミリタリージャケット,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ダウンベスト,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ジャンパー/ブルゾン,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ポンチョ,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ロングコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,トレンチコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ダッフルコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,ピーコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,チェスターコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,モッズコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,スタジャン,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,毛皮/ファーコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,スプリングコート,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,スカジャン,XXS以下,,,,,,,,,,,,,,,,
レディース,ジャケット/アウター,その他,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,デニム/ジーンズ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,ショートパンツ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,カジュアルパンツ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,ハーフパンツ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,チノパン,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,ワークパンツ/カーゴパンツ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,クロップドパンツ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,サロペット/オーバーオール,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,オールインワン,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,サルエルパンツ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,ガウチョパンツ,XXS以下,,,,,,,,,,,,,,,,
レディース,パンツ,その他,XXS以下,,,,,,,,,,,,,,,,
レディース,スカート,ミニスカート,XXS以下,,,,,,,,,,,,,,,,
レディース,スカート,ひざ丈スカート,XXS以下,,,,,,,,,,,,,,,,
レディース,スカート,ロングスカート,XXS以下,,,,,,,,,,,,,,,,
レディース,スカート,キュロット,XXS以下,,,,,,,,,,,,,,,,
レディース,スカート,その他,XXS以下,,,,,,,,,,,,,,,,
レディース,ワンピース,ミニワンピース,XXS以下,,,,,,,,,,,,,,,,
レディース,ワンピース,ひざ丈ワンピース,XXS以下,,,,,,,,,,,,,,,,
レディース,ワンピース,ロングワンピース,XXS以下,,,,,,,,,,,,,,,,
レディース,ワンピース,その他,XXS以下,,,,,,,,,,,,,,,,
レディース,靴,ハイヒール/パンプス,,,,,,,,,,,,,,,,,
レディース,靴,ブーツ,,,,,,,,,,,,,,,,,
レディース,靴,サンダル,,,,,,,,,,,,,,,,,
レディース,靴,スニーカー,,,,,,,,,,,,,,,,,
レディース,靴,ミュール,,,,,,,,,,,,,,,,,
レディース,靴,モカシン,,,,,,,,,,,,,,,,,
レディース,靴,ローファー/革靴,,,,,,,,,,,,,,,,,
レディース,靴,フラットシューズ/バレエシューズ,,,,,,,,,,,,,,,,,
レディース,靴,長靴/レインシューズ,,,,,,,,,,,,,,,,,
レディース,靴,その他,,,,,,,,,,,,,,,,,
レディース,ルームウェア/パジャマ,パジャマ,XXS以下,,,,,,,,,,,,,,,,
レディース,ルームウェア/パジャマ,ルームウェア,XXS以下,,,,,,,,,,,,,,,,
レディース,レッグウェア,すべて,XXS以下,,,,,,,,,,,,,,,,
レディース,レッグウェア,ソックス,XXS以下,,,,,,,,,,,,,,,,
レディース,レッグウェア,スパッツ/レギンス,XXS以下,,,,,,,,,,,,,,,,
レディース,レッグウェア,ストッキング/タイツ,XXS以下,,,,,,,,,,,,,,,,
レディース,レッグウェア,レッグウォーマー,XXS以下,,,,,,,,,,,,,,,,
レディース,レッグウェア,その他,XXS以下,,,,,,,,,,,,,,,,
レディース,帽子,ニットキャップ/ビーニー,,,,,,,,,,,,,,,,,
レディース,帽子,ハット,,,,,,,,,,,,,,,,,
レディース,帽子,ハンチング/ベレー帽,,,,,,,,,,,,,,,,,
レディース,帽子,キャップ,,,,,,,,,,,,,,,,,
レディース,帽子,キャスケット,,,,,,,,,,,,,,,,,
レディース,帽子,麦わら帽子,,,,,,,,,,,,,,,,,
レディース,帽子,その他,,,,,,,,,,,,,,,,,
レディース,バッグ,ハンドバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,トートバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,エコバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,リュック/バックパック,,,,,,,,,,,,,,,,,
レディース,バッグ,ボストンバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,スポーツバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ショルダーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,クラッチバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ポーチ/バニティ,,,,,,,,,,,,,,,,,
レディース,バッグ,ボディバッグ/ウェストバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,マザーズバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,メッセンジャーバッグ,,,,,,,,,,,,,,,,,
レディース,バッグ,ビジネスバッグ,,,,,,,,,,,,,,,,,
